431,431,431,431,431,431,431,85,85,431,431,431,431,431,431,431
431,431,431,431,2,431,433,85,85,431,431,431,431,431,431,431
431,431,431,433,85,85,85,85,85,431,431,431,431,431,431,431
431,431,433,85,85,85,85,85,85,431,431,431,431,431,431,431
431,433,85,85,85,85,85,85,85,434,431,431,431,431,431,431
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
455,451,85,85,85,85,85,85,85,85,85,85,85,85,455,455
431,431,85,85,85,85,85,85,85,85,85,85,85,85,431,431
431,431,85,85,85,85,85,85,85,85,85,85,85,85,431,431
431,431,455,455,455,455,455,455,455,455,455,455,455,455,431,431
431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431
